Index,DataYear,BuildingType,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEnergyUseWN(kBtu),Outlier,Latitude,Longitude,TotalGHGEmissions,GHGEmissionsIntensity,Log2-SiteEnergyUseWN(kBtu)
2278,2016,NonResidential,Worship Facility,5,NORTHWEST,1951,1.0,2.0,21936,0,21936,Worship Facility,21936.0,No Use,0.0,No Use,0.0,96.0,686216.5,Normal,47.70901,-122.35498,28.78,1.31,19.38830639258141
2280,2016,NonResidential,Other,5,NORTH,1960,1.0,1.0,25406,0,25406,"Personal Services (Health/Beauty, Dry Cleaning, etc)",25406.0,No Use,0.0,No Use,0.0,,2484501.5,Normal,47.7162,-122.2956,41.96,1.65,21.244525562907018
2289,2016,NonResidential,Small- and Mid-Sized Office,2,SOUTHEAST,1967,1.0,2.0,23250,0,23250,Office,22014.0,No Use,0.0,No Use,0.0,55.0,888432.5,Normal,47.56029,-122.2858,6.3,0.27,19.760904267786213
2292,2016,NonResidential,Warehouse,2,GREATER DUWAMISH,1960,1.0,1.0,30000,0,30000,Non-Refrigerated Warehouse,30000.0,Parking,0.0,No Use,0.0,32.0,3246531.0,Normal,47.55966,-122.33146,120.72,4.02,21.630467998930687
2293,2016,Nonresidential COS,Warehouse,2,GREATER DUWAMISH,1962,1.0,1.0,45036,0,45036,Non-Refrigerated Warehouse,21110.0,"Repair Services (Vehicle, Shoe, Locksmith, etc)",14074.0,Office,6755.0,,1989787.875,Normal,47.56522,-122.32205,49.53,1.1,20.924183932179016
2311,2016,SPS-District K-12,K-12 School,1,SOUTHWEST,1962,1.0,1.0,51410,0,51410,K-12 School,51410.0,No Use,0.0,No Use,0.0,87.0,2256911.75,Normal,47.57269,-122.39673,64.79,1.26,21.105919215777988
2324,2016,NonResidential,University,7,MAGNOLIA / QUEEN ANNE,1959,1.0,2.0,122679,0,122679,College/University,101035.0,Restaurant,2000.0,No Use,0.0,,17612938.0,Normal,47.65019,-122.36173,588.25,4.8,24.070132330163332
2328,2016,NonResidential,Small- and Mid-Sized Office,5,NORTH,1980,1.0,4.0,23022,0,23022,Office,23022.0,No Use,0.0,No Use,0.0,78.0,1075427.75,Normal,47.70868,-122.30089,14.64,0.64,20.036480514887835
2330,2016,NonResidential,Refrigerated Warehouse,2,GREATER DUWAMISH,1967,1.0,1.0,27263,0,27263,Refrigerated Warehouse,22000.0,Other,2700.0,Office,2500.0,,2408141.75,Normal,47.56173,-122.32885,17.22,0.63,21.19948948410159
2331,2016,NonResidential,Warehouse,2,GREATER DUWAMISH,1962,1.0,1.0,31569,0,31569,Non-Refrigerated Warehouse,33000.0,No Use,0.0,No Use,0.0,12.0,3344952.0,Normal,47.56318,-122.32889,125.59,3.98,21.6735545089971
